file,image_url,image_src,dest,action,note
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux14.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux14.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux2.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux2.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/eastwestping3.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/eastwestping3.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/vnets1.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/vnets1.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux1.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux1.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/proberesponse2.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/proberesponse2.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux13.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux13.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/peering2.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/peering2.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/eastwestping2.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/eastwestping2.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux12.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux12.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/bgp7.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/bgp7.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/vwan9.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/vwan9.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/bgp8.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/bgp8.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux4.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/addlinux4.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/hub1.jpg,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/hub1.jpg,,unused-dry-run,unused
/home/ubuntu/pythonProjects/azure-202-advanced/content/images/4_1-fortigate-deployment-6.PNG,,/home/ubuntu/pythonProjects/azure-202-advanced/content/images/4_1-fortigate-deployment-6.PNG,,unused-dry-run,unused
